name,ngram,loss,lr,val_acc,test_acc,vocab_size
bow_ce_lr0.1,1,ce,0.1,0.4196951934349355,0.4593532789362345,7703
ngram2_ce_lr0.1,2,ce,0.1,0.43376318874560377,0.46237533998186764,20000
bow_ce_lr0.05,1,ce,0.05,0.4091441969519343,0.43275914173466307,7703
bow_mse_lr0.1,1,mse,0.1,0.4243845252051583,0.45965548504079784,7703
